Timestamp,TweetText,PopularityScore,SentimentScore
2018-04-11 12:27:19,"De neoconservatieve regime change agenda (van Clinton, Bush, Obama en nu ook van Trump) brengt geen vrede en stabiliteit. Kijk naar Afghanistan en Irak. Nu bombarderen van Syrië speelt alleen maar de islamisten en de expansie-agenda van Erdogan in de kaart. Zeer onverstandig.",1372,"{'neg': 0.8275, 'neutral': 0.05499999999999994, 'pos': 0.1725}"
2018-10-15 14:05:53,Het maakte niet uit wat de kiezers ervan vonden. Dat het niets zou doen voor de economie. Dat de Kamer het niet wilde. Maar toen Unilever even met de vingers knipte was de premier door de bocht. Wie is eigenlijk de baas in dit land? #dividendbelasting #fvd https://t.co/wkUs8teXpd https://t.co/NCiVBUDLVx,1362,"{'neg': 0.48124999999999996, 'neutral': 0.475, 'pos': 0.51875}"
2017-10-05 19:49:55,Ongelofelijk. Vertrouw de VVD nooit meer! Stem NOOIT MEER op de partij van de gebroken verkiezingsbeloftes! #FVD https://t.co/8D3xUlQ8c3,1348,"{'neg': 0.1875, 'neutral': 0.050000000000000044, 'pos': 0.8125}"
2018-10-02 10:23:09,"Dankjewel Mark Rutte voor de groene gekte die ons honderden miljarden kost, de &gt;2 miljard die multinationals jaarlijks van je cadeau gaan krijgen, de alsmaar voortgaande immigratie die ons sociale stelsel door z’n voegen doet barsten en je steun voor de kostenslurpende EU! #FVD https://t.co/aKmVnzYogM",1345,"{'neg': 0.38020833333333337, 'neutral': 0.5333333333333333, 'pos': 0.6197916666666666}"
2018-02-18 12:24:37,#FVD nu 2de partij van het land in laatste peiling van @mauricedehond. @fvdemocratie https://t.co/zEmHHsg1Mk,1331,"{'neg': 0.525, 'neutral': 0.8, 'pos': 0.475}"
2017-10-04 07:56:24,Ja of zullen we beginnen om schijndebatten en schijnverantwoording en schijndemocratie niet langer te belonen met media-aandacht? https://t.co/Fe0UbLGtYu,1325,"{'neg': 0.5, 'neutral': 0.9, 'pos': 0.5}"
2018-09-13 21:04:30,Gisteren liet #FVD zien wat demografen voorspellen als Nederland zijn immigratiebeleid niet wijzigt: we worden dan een minderheid in ons eigen land. https://t.co/5caBWWScxr. Vandaag presenteren we ons alternatief: het Australisch immigratiemodel. Steun ons! https://t.co/1rVSloqZY1,1317,"{'neg': 0.5, 'neutral': 0.6666666666666667, 'pos': 0.5}"
2018-02-01 16:59:40,Inclusief appartementjes van Canadese diplomaten aan D66-politici die CETA-handelsverdragen doorduwen? #Pechtoldgate #Penthousegate #alexanderpenthouse https://t.co/lq4Jh5aPrD,1311,"{'neg': 0.5, 'neutral': 0.8, 'pos': 0.5}"
2018-09-20 10:45:29,"Mijn speech bij de Algemene Beschouwingen 2018: Wie is de baas in Nederland? Immigratie wordt niet aangepakt, honderden miljarden gaan op aan krankzinnige “klimaatdoelen”, de democratie functioneert niet meer en de burger staat volledig buitenspel. #FVD https://t.co/D4UfSBCZq5",1310,"{'neg': 0.6388888888888888, 'neutral': 0.43333333333333324, 'pos': 0.36111111111111116}"
2018-01-03 09:45:42,"FVD is zeer voor innovatie en investeren in nieuwe technologie, vergroening, goed omgaan met de dieren, stoppen van overbevissing en vervuiling terugdringen. Maar wel graag op rationele wijze en niet door tegen absurd hoge kosten obsessief CO2 te gaan uitbannen.",1307,"{'neg': 0.4575, 'neutral': 0.22416666666666663, 'pos': 0.5425}"
